"id","naam","adres","latitude","longitude","capaciteit","free_slots","parked_bikes"
"828841632d36eb7b6078c89e29d7c309","321 - Monnikenplein","Monnikenplein",51.17508,4.43003,34,32,2
"835a8096e5db49b5cce6aa0ed6e6660f","291- Braem blokken","Maurits Sabbelaan",51.1885,4.3727,35,28,7
"85ee0622640af9eef2620ec6f227ba20","276- Corbusier","Kruishofstraat",51.18351,4.39388,36,24,12
"8668428a462e90f518525ec26e1c9307","116- Loosplaats","Van Eycklei ro n° 48",51.2101,4.41722,18,17,1
"872933972121218320c0fa807ac76429","259- Posthofbrug","Posthofbrug",51.19332,4.43703,35,6,29
"8742b2a9d8bd0d1d8d9befd7f6377c14","170-Quellin","Quellinstraat 6-8",51.21736,4.41654,21,21,0
"8813b4490c2b24778e4955667dbc0def","111- Van Der Meyden","Plantin en Moretuslei",51.21018,4.42776,30,26,4
"883066b15a885b451c67145b483214f2","153- Beatrijslaan","Beatrijslaan",51.21853,4.38571,35,27,8
"8884b71afe21f2a8dacd898c38b6fd17","031- Wezenberg","Karel Oomsstraat - Binnensingel",51.19312,4.40803,35,7,28
"899205df37c5282a70f1caf2d9a2ef83","324 - Dordrechlaan","Dordrechtlaan",51.2043,4.46131,22,17,5
"8a65354e4a5c263918b5f4ea75b1aa77","327 - Ridderveld","Ridderveld",51.17721,4.37488,29,16,13
"8ada453e8e90af099f45737052d88835","215- Nieuwdreef","Nieuwdreef",51.24671,4.44015,36,24,12
"8b7d3761cee84d31d345af09e1e51100","122- Schijnpoort","Pothoekstraat ro n° 124",51.22462,4.4366,21,19,2
"8c50415dacbbf4b8458d0744777847b9","124- Park Spoor Noord 1","Ellermansstraat - Fuggerstraat",51.22996,4.41961,30,1,29
"8db06025b0010745e60a9ba913a63b6a","128- ZNA Cadix","Kempenstraat",51.23177,4.41729,30,0,30
"8dd308dda9c59d018ff09d050fa9c0f0","226- Noordschippersdok","Noordschippersdok 41",51.2339,4.42974,36,30,6
"8e1c97b70813df9b1b47e1d73c1c28cd","015- Schone Kunsten","Beeldhouwersstraat - Admiraal De Boisotstraat",51.20782,4.39439,33,24,9
"8e1e8e770f7ff5543d32e93e80ff7a88","220- 't Dokske","Sint-Bartholomeusstraat",51.24315,4.4474,30,16,14
"8fa269470fcc3d90cd08cb2939f82457","334 - Den Haas","August van de Wielelei",51.21979,4.48317,35,32,3
"905cf18912f5f2e54322bb6e442a3c0b","233- Gallifort","Gallifortlei",51.2251,4.46617,35,28,7
"90eaa6d7da61bfb3f9fb6cc6dbd187fb","332 - Valkstraat","Michel Geysemansstraat",51.16751,4.38542,35,13,22
"912b9caa1031f913542ea88408300890","138- Amsterdamstraat","Amsterdamstraat",51.2312,4.40355,24,7,17
"91d61d90f024535e8012c2f51d787f72","114- ZNA Stuivenberg","Pesthofstraat ro n° 5",51.22199,4.43384,35,28,7
"92e775115a2b2e9904e899cf8e31320e","140- Jachthaven LO","Goethestraat/Thoneth",51.23142,4.39163,35,23,12
"9326677581e93c5fdea47cc410fdb023","244- Waterbaan","Herentalsebaan",51.20764,4.46532,36,20,16
"9326a23d306fa791c6cd6d7133c83282","151- Van Cauwelaert","Blancefloerlaan/Halewijnlaan",51.22031,4.37841,30,4,26
"93c1f1bc8964a9d4d33ae8daa10936c7","212- Rode Loop","Rodeloopstraat",51.25091,4.44231,36,16,20
"93e4a30d0903d9db9f18262b17a0e11a","211- Cultuurcentrum","Rodeloopstraat",51.25131,4.43732,36,27,9
"941ae02d4cdeac47d1cb734910d5c02d","008- NMBS Berchem 2","Ryckaertplein",51.20109,4.43396,30,8,22
"944b8a22e2a427095c6fc000286f45e2","160- Vlinderpaleis","Brusselstraat",51.20338,4.3888,36,26,10
